#  Time[s]  	           depth 	      velocity_x 	      velocity_y 	             wse 	       z_element 	
0 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.01 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.02 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.03 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.04 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.05 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.06 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.07 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.08 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.09 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.1 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.11 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.12 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.13 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.14 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.15 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.16 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.17 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.18 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.19 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.2001 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.21 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.22 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.23 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.24 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.2501 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.26 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.27 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.28 	            0.53 	               0 	               0 	             0.2 	           -0.33
0.29 	            0.53 	   2.6213898e-10 	               0 	             0.2 	           -0.33
0.3001 	            0.53 	   7.5278835e-09 	  -2.0452341e-09 	             0.2 	           -0.33
0.31 	      0.52999998 	   6.4272166e-08 	  -1.7283718e-08 	      0.19999998 	           -0.33
0.32 	       0.5299999 	   3.4668013e-07 	  -9.0430256e-08 	       0.1999999 	           -0.33
0.33 	      0.52999962 	   1.3945626e-06 	  -3.5384333e-07 	      0.19999962 	           -0.33
0.34 	      0.52999878 	   4.5614204e-06 	   -1.130418e-06 	      0.19999878 	           -0.33
0.3501 	       0.5299966 	   1.2943072e-05 	  -3.1427587e-06 	       0.1999966 	           -0.33
0.36 	      0.52999182 	   3.1694089e-05 	  -7.5667244e-06 	      0.19999182 	           -0.33
0.37 	      0.52998208 	     7.05599e-05 	  -1.6601044e-05 	      0.19998208 	           -0.33
0.38 	      0.52996394 	   0.00014419319 	  -3.3497728e-05 	      0.19996394 	           -0.33
0.39 	      0.52993248 	   0.00027379797 	  -6.2908772e-05 	      0.19993248 	           -0.33
0.4001 	      0.52988046 	   0.00049105574 	  -0.00011173585 	      0.19988046 	           -0.33
0.41 	      0.52980194 	   0.00082292803 	  -0.00018572493 	      0.19980194 	           -0.33
0.42 	      0.52968602 	     0.001318015 	  -0.00029538537 	      0.19968602 	           -0.33
0.43 	      0.52952332 	    0.0020193773 	  -0.00044994969 	      0.19952332 	           -0.33
0.44 	       0.5293038 	    0.0029732698 	  -0.00065942442 	       0.1993038 	           -0.33
0.4501 	      0.52901445 	    0.0042394668 	  -0.00093693833 	      0.19901445 	           -0.33
0.46 	      0.52865718 	    0.0058121737 	   -0.0012815233 	      0.19865718 	           -0.33
0.47 	      0.52821671 	    0.0077610772 	   -0.0017091022 	      0.19821671 	           -0.33
0.48 	      0.52769242 	     0.010091213 	   -0.0022218471 	      0.19769242 	           -0.33
0.49 	      0.52708378 	     0.012806913 	   -0.0028221884 	      0.19708378 	           -0.33
0.5001 	      0.52638573 	     0.015932874 	   -0.0035175454 	      0.19638573 	           -0.33
0.51 	      0.52562626 	     0.019345402 	   -0.0042824542 	      0.19562626 	           -0.33
0.52 	      0.52479241 	     0.023104637 	   -0.0051326048 	      0.19479241 	           -0.33
0.53 	       0.5239022 	     0.027131707 	   -0.0060526698 	       0.1939022 	           -0.33
0.54 	      0.52296888 	      0.03136932 	   -0.0070318635 	      0.19296888 	           -0.33
0.5501 	      0.52199761 	     0.035797407 	   -0.0080679275 	      0.19199761 	           -0.33
0.56 	      0.52103366 	     0.040212603 	   -0.0091148439 	      0.19103366 	           -0.33
0.57 	      0.52006457 	     0.044675268 	     -0.01018815 	      0.19006457 	           -0.33
0.58 	      0.51911682 	     0.049067688 	    -0.011261029 	      0.18911682 	           -0.33
0.59 	      0.51820703 	     0.053316782 	    -0.012316545 	      0.18820703 	           -0.33
0.6001 	      0.51734334 	     0.057389253 	    -0.013347523 	      0.18734334 	           -0.33
0.61 	       0.5165652 	     0.061102157 	     -0.01430786 	       0.1865652 	           -0.33
0.62 	      0.51586122 	     0.064512633 	    -0.015212511 	      0.18586122 	           -0.33
0.63 	      0.51525202 	     0.067525139 	    -0.016037365 	      0.18525202 	           -0.33
0.64 	      0.51474776 	     0.070092478 	    -0.016770467 	      0.18474776 	           -0.33
0.6501 	      0.51435358 	     0.072192515 	    -0.017407503 	      0.18435358 	           -0.33
0.66 	      0.51408422 	     0.073745603 	    -0.017924965 	      0.18408422 	           -0.33
0.67 	      0.51393162 	     0.074793955 	    -0.018337358 	      0.18393162 	           -0.33
0.68 	      0.51389921 	     0.075314179 	    -0.018638584 	      0.18389921 	           -0.33
0.69 	      0.51398337 	     0.075317081 	    -0.018832739 	      0.18398337 	           -0.33
0.7001 	      0.51418025 	     0.074817573 	    -0.018928014 	      0.18418025 	           -0.33
0.71 	      0.51447205 	     0.073877531 	    -0.018935536 	      0.18447205 	           -0.33
0.72 	      0.51485305 	     0.072526847 	     -0.01887298 	      0.18485305 	           -0.33
0.73 	      0.51530622 	     0.070830455 	    -0.018758557 	      0.18530622 	           -0.33
0.74 	      0.51581462 	     0.068856471 	    -0.018614131 	      0.18581462 	           -0.33
0.7501 	       0.5163657 	     0.066655279 	    -0.018462165 	       0.1863657 	           -0.33
0.76 	      0.51692389 	     0.064371376 	     -0.01833184 	      0.18692389 	           -0.33
0.77 	      0.51748748 	     0.062012374 	    -0.018243388 	      0.18748748 	           -0.33
0.78 	      0.51803359 	     0.059671298 	    -0.018222142 	      0.18803359 	           -0.33
0.79 	      0.51854636 	     0.057413094 	    -0.018290021 	      0.18854636 	           -0.33
0.8001 	      0.51901618 	     0.055274975 	    -0.018469219 	      0.18901618 	           -0.33
0.81 	      0.51941895 	     0.053363854 	     -0.01876787 	      0.18941895 	           -0.33
0.82 	      0.51975972 	     0.051653705 	    -0.019204302 	      0.18975972 	           -0.33
