"TimeStep","Time","bottom_elevation","delta_z","water_surface","Points:0","Points:1","Points:2"
0,0,0,0,10,122,0,0
1,5,-1,-1,9.4598,122,0,0
2,10,-1,-1,9.4611,122,0,0
3,15,-1,-1,9.4636,122,0,0
4,20,-1,-1,9.4642,122,0,0
5,25,-1,-1,9.865,122,0,0
6,30,-1,-1,9.9861,122,0,0
7,35,-1,-1,9.9861,122,0,0
8,40,-1,-1,9.9871,122,0,0
9,45,-1,-1,9.9874,122,0,0
10,50,-1,-1,9.998,122,0,0
11,55,-1,-1,9.9988,122,0,0
12,60,-1,-1,9.9999,122,0,0
13,65,-1,-1,9.9989,122,0,0
14,70,-1,-1,9.9997,122,0,0
15,75,-1,-1,9.9996,122,0,0
16,80,-1,-1,10,122,0,0
17,85,-1,-1,9.9995,122,0,0
18,90,-1,-1,9.9998,122,0,0
19,95,-1,-1,9.9999,122,0,0
20,100,-1,-1,9.9996,122,0,0
21,105,-1,-1,9.9998,122,0,0
22,110,-1,-1,9.9996,122,0,0
23,115,-1,-1,9.9999,122,0,0
24,120,-1,-1,9.9996,122,0,0
25,125,-1,-1,9.9996,122,0,0
26,130,-1,-1,9.9996,122,0,0
27,135,-1,-1,9.9998,122,0,0
28,140,-1,-1,9.9998,122,0,0
29,145,-1,-1,9.9995,122,0,0
30,150,-1,-1,9.9998,122,0,0
31,155,-1,-1,10,122,0,0
32,160,-1,-1,9.9998,122,0,0
33,165,-1,-1,9.9999,122,0,0
34,170,-1,-1,10,122,0,0
35,175,-1,-1,9.9999,122,0,0
36,180,-1,-1,9.9996,122,0,0
37,185,-1,-1,9.9997,122,0,0
38,190,-1,-1,9.9997,122,0,0
39,195,-1,-1,9.9997,122,0,0
40,200,-1,-1,10,122,0,0
41,205,-1,-1,9.9999,122,0,0
42,210,-1,-1,9.9997,122,0,0
43,215,-1,-1,9.9998,122,0,0
44,220,-1,-1,9.9998,122,0,0
45,225,-1,-1,9.9998,122,0,0
46,230,-1,-1,9.9997,122,0,0
47,235,-1,-1,9.9998,122,0,0
48,240,-1,-1,9.9997,122,0,0
49,245,-1,-1,9.9996,122,0,0
50,250,-1,-1,9.9998,122,0,0
51,255,-1,-1,9.9999,122,0,0
52,260,-1,-1,10,122,0,0
53,265,-1,-1,10,122,0,0
54,270,-1,-1,9.9999,122,0,0
55,275,-1,-1,9.9998,122,0,0
56,280,-1,-1,9.9998,122,0,0
57,285,-1,-1,9.9997,122,0,0
58,290,-1,-1,9.9996,122,0,0
59,295,-1,-1,9.9997,122,0,0
60,300,-1,-1,9.9998,122,0,0
61,305,-1,-1,9.9999,122,0,0
62,310,-1,-1,9.9999,122,0,0
63,315,-1,-1,9.9997,122,0,0
64,320,-1,-1,9.9997,122,0,0
65,325,-1,-1,9.9999,122,0,0
66,330,-1,-1,9.9999,122,0,0
67,335,-1,-1,9.9999,122,0,0
68,340,-1,-1,9.9999,122,0,0
69,345,-1,-1,9.9998,122,0,0
70,350,-1,-1,9.9997,122,0,0
71,355,-1,-1,9.9997,122,0,0
72,360,-1,-1,9.9997,122,0,0
73,365,-1,-1,9.9998,122,0,0
74,370,-1,-1,9.9999,122,0,0
75,375,-1,-1,10,122,0,0
76,380,-1,-1,10,122,0,0
77,385,-1,-1,10,122,0,0
78,390,-1,-1,9.9998,122,0,0
79,395,-1,-1,9.9995,122,0,0
80,400,-1,-1,9.9997,122,0,0
81,405,-1,-1,9.9998,122,0,0
82,410,-1,-1,9.9998,122,0,0
83,415,-1,-1,9.9999,122,0,0
84,420,-1,-1,10,122,0,0
85,425,-1,-1,10,122,0,0
86,430,-1,-1,9.9998,122,0,0
87,435,-1,-1,9.9997,122,0,0
88,440,-1,-1,9.9998,122,0,0
89,445,-1,-1,9.9998,122,0,0
90,450,-1,-1,9.9999,122,0,0
91,455,-1,-1,9.9998,122,0,0
92,460,-1,-1,9.9998,122,0,0
93,465,-1,-1,9.9999,122,0,0
94,470,-1,-1,10,122,0,0
95,475,-1,-1,9.9999,122,0,0
96,480,-1,-1,9.9998,122,0,0
97,485,-1,-1,9.9998,122,0,0
98,490,-1,-1,9.9998,122,0,0
99,495,-1,-1,9.9998,122,0,0
100,500,-1,-1,9.9998,122,0,0
101,505,-1,-1,9.9998,122,0,0
102,510,-1,-1,9.9998,122,0,0
103,515,-1,-1,9.9997,122,0,0
104,520,-1,-1,9.9998,122,0,0
105,525,-1,-1,9.9999,122,0,0
106,530,-1,-1,10,122,0,0
107,535,-1,-1,9.9999,122,0,0
108,540,-1,-1,9.9999,122,0,0
