"Time","avg(water_surface)"
0,10
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,9.9995
17,9.9951
18,9.9744
19,9.9213
20,9.8352
21,9.7344
22,9.6409
23,9.569
24,9.5225
25,9.4972
26,9.4857
27,9.4816
28,9.4805
29,9.4803
30,9.48
31,9.4797
32,9.4797
33,9.4797
34,9.4797
35,9.4798
36,9.4799
37,9.4801
38,9.4804
39,9.4806
40,9.4816
41,9.4861
42,9.5011
43,9.54
44,9.6178
45,9.7313
46,9.8448
47,9.9227
48,9.9621
49,9.9784
50,9.9843
51,9.9864
52,9.987
53,9.987
54,9.9867
55,9.9867
56,9.9872
57,9.9876
58,9.9877
59,9.9875
60,9.9873
61,9.9874
62,9.9873
63,9.987
64,9.9872
65,9.9882
66,9.99
67,9.9922
68,9.9942
69,9.9959
70,9.9972
71,9.9981
72,9.9987
73,9.999
74,9.9992
75,9.9993
76,9.9993
77,9.9992
78,9.9991
79,9.9991
80,9.9991
81,9.9992
82,9.9992
83,9.9992
84,9.9992
85,9.9992
86,9.9992
87,9.9993
88,9.9994
89,9.9994
90,9.9994
91,9.9994
92,9.9995
93,9.9996
94,9.9997
95,9.9997
96,9.9997
97,9.9998
98,9.9998
99,9.9997
100,9.9997
101,9.9996
102,9.9995
103,9.9995
104,9.9995
105,9.9996
106,9.9996
107,9.9996
108,9.9997
109,9.9997
110,9.9997
111,9.9997
112,9.9996
113,9.9996
114,9.9996
115,9.9995
116,9.9995
117,9.9996
118,9.9996
119,9.9997
120,9.9997
121,9.9997
122,9.9997
123,9.9997
124,9.9997
125,9.9997
126,9.9997
127,9.9997
128,9.9997
129,9.9997
130,9.9998
131,9.9998
132,9.9999
133,9.9999
134,9.9999
135,9.9999
136,9.9998
137,9.9998
138,9.9997
139,9.9997
140,9.9997
141,9.9998
142,9.9998
143,9.9999
144,9.9999
145,9.9998
146,9.9998
147,9.9997
148,9.9997
149,9.9997
150,9.9997
151,9.9998
152,9.9998
153,9.9999
154,9.9999
155,9.9999
156,10
157,10
158,9.9999
159,9.9999
160,9.9999
161,9.9998
162,9.9997
163,9.9997
164,9.9996
165,9.9996
166,9.9996
167,9.9996
168,9.9996
169,9.9996
170,9.9996
171,9.9997
172,9.9997
173,9.9998
174,9.9998
175,9.9999
176,9.9999
177,9.9999
178,9.9999
179,9.9998
180,9.9998
181,9.9998
182,9.9998
183,9.9997
184,9.9997
185,9.9997
